Bin Id,Site,Year,Completeness,Redundancy,Strain heterogeneity,Genome size (Mbp), # contigs,GC,Domain,Phylum,Class,Order,Family,Genus,SJO_Jan 2016_10cm_MP02,SJO_Jan 2016_20cm_MP02,SJO_Jan 2016_10cm_MP15,SJO_Jan 2016_20cm_MP15,BVA_Feb 2016_10cm_MP05,BVA_Feb 2016_20cm_MP05,BVA_Feb 2016_10cm_MP12,BVA_Feb 2016_20cm_MP12,QUI_Feb 2016_10cm_MP05,QUI_Feb 2016_20cm_MP05,QUI_Feb 2016_10cm_MP10,QUI_Feb 2016_20cm_MP10,SJO_Jul 2015_20cm_MP02,SJO_Jul 2015_20cm_MP15,BVA_Aug 2015_20cm_MP10,BVA_Aug 2015_20cm_MP04,QUI_Oct 2015_10cm_MP10,QUI_Oct 2015_20cm_MP10,QUI_Oct 2015_10cm_MP05,QUI_Oct 2015_20cm_MP05,SJO_Oct 2015_20cm_MP02,SJO_Oct 2015_20cm_MP15,BVA_Oct 2015_20cm_MP06,BVA_Oct 2015_20cm_MP10,Average_Abundance_at_Site
0116_SJ02_102,San Jorge,16-Jan,81.14,6.88,20,3.141958,655,49.3,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,3.17555989,2.340739215,0.48040996,1.825953778,,,,,,,,,,,,,,,,,,,,,1.955665711
0116_SJ02_107_020,San Jorge,16-Jan,65.14,1.34,66.67,2.382119,804,60.8,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,13.04918972,45.07521063,16.17911265,0.345374425,,,,,,,,,,,,,,,,,,,,,18.66222186
0116_SJ02_107_029,San Jorge,16-Jan,87.97,5.51,50,3.739728,1012,67.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SHWA01,f__SHWA01,g__,9.730031069,4.469061452,1.195257352,1.137283822,,,,,,,,,,,,,,,,,,,,,4.132908424
0116_SJ02_107_284,San Jorge,16-Jan,66.76,6,37.5,1.723706,466,62.3,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__SZUA-6,f__Fen-1364,g__,1.171225081,2.38708769,2.261130115,0.162817391,,,,,,,,,,,,,,,,,,,,,1.495565069
0116_SJ02_112,San Jorge,16-Jan,64.66,7.84,40,2.155039,435,50.3,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,8.172738636,4.284616309,1.015102326,1.785468784,,,,,,,,,,,,,,,,,,,,,3.814481514
0116_SJ02_147,San Jorge,16-Jan,79.3,8.71,0,5.845033,1100,70,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__2-02-FULL-66-22,g__,4.767952793,3.305907416,2.053794932,1.14215981,,,,,,,,,,,,,,,,,,,,,2.817453738
0116_SJ02_169,San Jorge,16-Jan,55.41,0.5,0,2.238902,688,55.7,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA2162,g__,0.765039099,1.462065316,3.876532888,0.031589425,,,,,,,,,,,,,,,,,,,,,1.533806682
0116_SJ02_171,San Jorge,16-Jan,97.09,4.93,14.29,2.81202,181,51.1,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,7.731882202,4.451478962,5.795653915,1.594648987,,,,,,,,,,,,,,,,,,,,,4.893416017
0116_SJ02_194,San Jorge,16-Jan,92.2,3.86,42.86,5.218893,390,62.3,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,3.640927775,2.885573817,1.74585528,2.810273209,,,,,,,,,,,,,,,,,,,,,2.77065752
0116_SJ02_264,San Jorge,16-Jan,74.91,1.57,33.33,2.379808,258,72.2,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__,0.931142398,6.966620128,1.20711693,0.160260989,,,,,,,,,,,,,,,,,,,,,2.316285111
